"keyword","X1960","X1970","X1980","X1990","X2000","X2010"
"alone world",0,1,3,0,2,0
"alone yeah",1,1,2,2,5,0
"alone youre",2,0,1,10,1,3
"aloneand",0,3,1,2,0,1
"alonecause",0,2,1,1,2,0
"alonedont",0,0,0,1,2,1
"alonei",0,2,2,2,9,1
"alonewhen",0,0,0,1,2,1
"aloneyou",0,0,1,2,0,3
"along",32,73,68,90,69,69
"along came",0,1,9,3,0,0
"along come",1,1,0,0,0,1
"along just",1,4,0,0,0,3
"along know",0,0,0,1,2,6
"along river",1,1,0,2,0,0
"along side",0,3,0,1,0,1
"along sing",0,1,1,0,1,0
"along way",2,8,3,10,4,0
"alongi",0,0,1,2,1,1
"aloud",0,1,3,6,1,0
"alovin",1,0,1,1,0,0
"alphabet",0,1,0,2,2,0
"already",5,7,10,21,131,67
"already gone",2,1,0,0,13,12
"already got",0,0,0,2,6,7
"already know",0,0,0,1,45,13
"alright",59,47,125,150,242,82
"alright alright",11,3,11,29,38,7
"alright alright alright",6,1,2,17,24,0
"alright alright alright alright",3,0,0,7,17,0
"alright alright baby",0,0,0,1,1,3
"alright baby",0,2,1,6,7,5
"alright can",0,1,0,0,1,1
"alright cause",0,3,1,6,11,3
"alright come",1,0,2,2,4,1
"alright dont",0,3,1,0,2,2
"alright got",0,2,1,1,1,0
"alright hold",0,0,1,1,0,1
"alright ill",0,0,3,2,6,2
"alright im",0,1,1,2,15,1
"alright just",1,0,4,0,1,5
"alright know",0,1,2,2,6,0
"alright let",1,0,7,1,0,0
"alright now",5,0,7,0,8,0
"alright oh",0,2,3,3,5,4
"alright oh yeah",0,1,1,1,2,0
"alright uh",2,1,0,0,1,0
"alright well",1,0,2,1,0,2
"alright yeah",0,0,4,1,3,0
"alright youre",1,1,1,0,1,0
"alrightand",3,0,0,2,3,0
"alrighti",0,0,1,3,9,0
"alrightits",0,0,1,1,2,0
"also",0,1,0,6,5,3
"altar",0,1,0,0,8,1
"although",11,7,18,18,0,7
"always",68,234,359,481,456,183
"always always",0,1,1,6,1,0
"always around",1,1,0,8,5,0
"always ask",0,1,1,1,0,0
"always baby",0,1,2,9,1,0
"always best",0,4,0,1,1,2
"always call",0,2,0,2,11,0
"always can",0,0,2,1,0,1
"always come",0,5,1,1,9,0
"always comes",0,1,1,3,4,0
"always count",1,1,0,1,2,0
"always ends",0,2,3,1,0,0
"always feel",0,1,19,2,11,0
"always find",0,1,0,1,3,0
"always friend",0,1,0,8,3,1
"always get",0,8,2,6,1,2
"always go",1,0,2,2,4,0
"always gone",0,1,0,1,4,0
"always gonna",0,1,0,0,13,2
"always good",0,2,3,1,0,22
"always got",0,1,3,0,2,4
"always heard",0,3,3,1,0,0
"always hold",0,0,0,4,1,2
"always ill",0,0,0,7,4,2
"always im",0,1,1,0,1,0
"always keep",1,1,0,7,5,0
"always knew",0,1,2,2,2,0
"always know",0,0,4,2,10,0
"always like",0,0,1,9,7,2
"always love",1,13,23,21,7,1
"always love will",0,0,2,7,1,0
"always make",0,0,3,6,3,1
"always makes",0,2,1,1,4,0
"always meant",0,1,0,0,2,2
"always mind",3,1,20,6,2,5
"always mine",0,0,0,2,2,6
"always need",0,4,1,1,1,0
"always needed",0,0,2,0,3,1
"always oh",1,0,1,3,2,0
"always one",0,3,2,5,9,7
"always part",0,2,3,4,1,0
"always right",0,2,4,7,0,6
"always run",1,0,3,0,1,1
"always said",1,1,5,1,1,0
"always say",0,3,3,0,3,3
"always see",0,0,3,3,4,0
"always seem",0,2,6,3,1,3
"always seems",0,6,2,3,4,1
"always shine",0,0,2,1,2,0
"always side",0,0,3,4,1,1
"always someone",1,2,0,3,0,0
"always something",1,2,20,7,2,1
"always standing",1,0,0,2,2,0
"always stay",1,3,3,8,1,1
"always strong",1,0,1,1,0,0
"always take",1,1,3,1,0,1
"always talkin",0,2,3,1,16,0
"always talkin bout",0,2,1,0,15,0
"always tell",1,0,1,5,2,0
"always think",0,1,1,1,2,2
"always thinking",0,0,2,1,10,0
"always thought",2,6,1,2,2,1
"always time",0,14,2,0,14,0
"always together",0,2,5,4,16,0
"always told",0,3,4,1,1,0
"always try",0,2,1,0,1,0
"always tryin",0,1,5,3,0,0
"always understand",1,0,1,2,0,0
